PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Ticket (prefix),Ticket (number),Nb-cotiket,Fare,Cabin-nb,Cabin-letter,Embarked,Name
325,0,3,male,29.84760522,8,2,C.A.,2343,7,69.55,0,none,S,Mr.
793,0,3,female,29.84760522,8,2,C.A.,2343,7,69.55,0,none,S,Miss.
847,0,3,male,29.84760522,8,2,C.A.,2343,7,69.55,0,none,S,Mr.
864,0,3,female,29.84760522,8,2,C.A.,2343,7,69.55,0,none,S,Miss.
305,0,3,male,29.84760522,0,0,A/5,2466,1,8.05,0,none,S,Mr.
554,1,3,male,22,0,0,none,2620,1,7.225,0,none,C,Mr.
662,0,3,male,40,0,0,none,2623,1,7.225,0,none,C,Mr.
523,0,3,male,29.84760522,0,0,none,2624,1,7.225,0,none,C,Mr.
804,1,3,male,0.42,0,1,none,2625,1,8.5167,0,none,C,Master.
368,1,3,female,29.84760522,0,0,none,2626,1,7.2292,0,none,C,Mrs.
115,0,3,female,17,0,0,none,2627,2,14.4583,0,none,C,Miss.
496,0,3,male,29.84760522,0,0,none,2627,2,14.4583,0,none,C,Mr.
204,0,3,male,45.5,0,0,none,2628,1,7.225,0,none,C,Mr.
860,0,3,male,29.84760522,0,0,none,2629,1,7.2292,0,none,C,Mr.
27,0,3,male,29.84760522,0,0,none,2631,1,7.225,0,none,C,Mr.
532,0,3,male,29.84760522,0,0,none,2641,1,7.2292,0,none,C,Mr.
355,0,3,male,29.84760522,0,0,none,2647,1,7.225,0,none,C,Mr.
379,0,3,male,20,0,0,none,2648,1,4.0125,0,none,C,Mr.
20,1,3,female,29.84760522,0,0,none,2649,1,7.225,0,none,C,Mrs.
256,1,3,female,29,0,2,none,2650,1,15.2458,0,none,C,Mrs.
40,1,3,female,14,1,0,none,2651,2,11.2417,0,none,C,Miss.
126,1,3,male,12,1,0,none,2651,2,11.2417,0,none,C,Master.
382,1,3,female,1,0,2,none,2653,2,15.7417,0,none,C,Miss.
623,1,3,male,20,1,1,none,2653,2,15.7417,0,none,C,Mr.
621,0,3,male,27,1,0,none,2659,2,14.4542,0,none,C,Mr.
831,1,3,female,15,1,0,none,2659,2,14.4542,0,none,C,Mrs.
66,1,3,male,29.84760522,1,1,none,2661,2,15.2458,0,none,C,Master.
710,1,3,male,29.84760522,1,1,none,2661,2,15.2458,0,none,C,Master.
49,0,3,male,29.84760522,2,0,none,2662,1,21.6792,0,none,C,Mr.
763,1,3,male,20,0,0,none,2663,1,7.2292,0,none,C,Mr.
599,0,3,male,29.84760522,0,0,none,2664,1,7.225,0,none,C,Mr.
112,0,3,female,14.5,1,0,none,2665,2,14.4542,0,none,C,Miss.
241,0,3,female,29.84760522,1,0,none,2665,2,14.4542,0,none,C,Miss.
449,1,3,female,5,2,1,none,2666,4,19.2583,0,none,C,Miss.
470,1,3,female,0.75,2,1,none,2666,4,19.2583,0,none,C,Miss.
645,1,3,female,0.75,2,1,none,2666,4,19.2583,0,none,C,Miss.
859,1,3,female,24,0,3,none,2666,4,19.2583,0,none,C,Mrs.
876,1,3,female,15,0,0,none,2667,1,7.225,0,none,C,Miss.
129,1,3,female,29.84760522,1,1,none,2668,2,22.3583,0,F,C,Miss.
534,1,3,female,29.84760522,0,2,none,2668,2,22.3583,0,none,C,Mrs.
61,0,3,male,22,0,0,none,2669,1,7.2292,0,none,C,Mr.
833,0,3,male,29.84760522,0,0,none,2671,1,7.2292,0,none,C,Mr.
694,0,3,male,25,0,0,none,2672,1,7.225,0,none,C,Mr.
280,1,3,female,35,1,1,C.A.,2673,2,20.25,0,none,S,Mrs.
747,0,3,male,16,1,1,C.A.,2673,2,20.25,0,none,S,Mr.
774,0,3,male,29.84760522,0,0,none,2674,1,7.225,0,none,C,Mr.
37,1,3,male,29.84760522,0,0,none,2677,1,7.2292,0,none,C,Mr.
141,0,3,female,29.84760522,0,2,none,2678,2,15.2458,0,none,C,Mrs.
853,0,3,female,9,1,1,none,2678,2,15.2458,0,none,C,Miss.
74,0,3,male,26,1,0,none,2680,1,14.4542,0,none,C,Mr.
844,0,3,male,34.5,0,0,none,2683,1,6.4375,0,none,C,Mr.
799,0,3,male,30,0,0,none,2685,1,7.2292,0,none,C,Mr.
569,0,3,male,29.84760522,0,0,none,2686,1,7.2292,0,none,C,Mr.
781,1,3,female,13,0,0,none,2687,1,7.2292,0,none,C,Miss.
579,0,3,female,29.84760522,1,0,none,2689,1,14.4583,0,none,C,Mrs.
533,0,3,male,17,1,1,none,2690,1,7.2292,0,none,C,Mr.
363,0,3,female,45,0,1,none,2691,2,14.4542,0,none,C,Mrs.
703,0,3,female,18,0,1,none,2691,2,14.4542,0,none,C,Miss.
297,0,3,male,23.5,0,0,none,2693,1,7.2292,0,none,C,Mr.
245,0,3,male,30,0,0,none,2694,1,7.225,0,none,C,Mr.
353,0,3,male,15,1,1,none,2695,1,7.2292,0,none,C,Mr.
58,0,3,male,28.5,0,0,none,2697,1,7.2292,0,none,C,Mr.
208,1,3,male,26,0,0,none,2699,2,18.7875,0,none,C,Mr.
732,0,3,male,11,0,0,none,2699,2,18.7875,0,none,C,Mr.
525,0,3,male,29.84760522,0,0,none,2700,1,7.2292,0,none,C,Mr.
465,0,3,male,29.84760522,0,0,A/5,2816,1,8.05,0,none,S,Mr.
455,0,3,male,29.84760522,0,0,A/5,2817,1,8.05,0,none,S,Mr.
544,1,2,male,32,1,0,none,2908,2,26,0,none,S,Mr.
547,1,2,female,19,1,0,none,2908,2,26,0,none,S,Mrs.
54,1,2,female,29,1,0,none,2926,1,26,0,none,S,Mrs.
433,1,2,female,42,1,0,SC/AH,3085,1,26,0,none,S,Mrs.
590,0,3,male,29.84760522,0,0,A/5,3235,1,8.05,0,none,S,Mr.
254,0,3,male,30,1,0,A/5,3336,2,16.1,0,none,S,Mr.
618,0,3,female,26,1,0,A/5,3336,2,16.1,0,none,S,Mrs.
133,0,3,female,47,1,0,A/5,3337,1,14.5,0,none,S,Mrs.
309,0,2,male,30,1,0,P/PP,3381,2,24,0,none,C,Mr.
875,1,2,female,28,1,0,P/PP,3381,2,24,0,none,C,Mrs.
585,0,3,male,29.84760522,0,0,none,3411,1,8.7125,0,none,C,Mr.
478,0,3,male,29,1,0,none,3460,1,7.0458,0,none,S,Mr.
68,0,3,male,19,0,0,S.P.,3464,1,8.1583,0,none,S,Mr.
811,0,3,male,26,0,0,none,3474,1,7.8875,0,none,S,Mr.
669,0,3,male,43,0,0,A/5,3536,1,8.05,0,none,S,Mr.
205,1,3,male,18,0,0,A/5,3540,1,8.05,0,none,S,Mr.
483,0,3,male,50,0,0,A/5,3594,1,8.05,0,none,S,Mr.
593,0,3,male,47,0,0,A/5,3902,1,7.25,0,none,S,Mr.
509,0,3,male,28,0,0,C,4001,1,22.525,0,none,S,Mr.
177,0,3,male,29.84760522,3,1,none,4133,4,25.4667,0,none,S,Master.
230,0,3,female,29.84760522,3,1,none,4133,4,25.4667,0,none,S,Miss.
410,0,3,female,29.84760522,3,1,none,4133,4,25.4667,0,none,S,Miss.
486,0,3,female,29.84760522,3,1,none,4133,4,25.4667,0,none,S,Miss.
484,1,3,female,63,0,0,none,4134,1,9.5875,0,none,S,Mrs.
504,0,3,female,37,0,0,none,4135,1,9.5875,0,none,S,Miss.
114,0,3,female,20,1,0,none,4136,1,9.825,0,none,S,Miss.
403,0,3,female,21,1,0,none,4137,1,9.825,0,none,S,Miss.
678,1,3,female,18,0,0,none,4138,1,9.8417,0,none,S,Miss.
226,0,3,male,22,0,0,PP,4348,1,9.35,0,none,S,Mr.
198,0,3,male,42,0,1,none,4579,1,8.4042,0,none,S,Mr.
846,0,3,male,42,0,0,C.A.,5547,1,7.55,0,none,S,Mr.
663,0,1,male,47,0,0,none,5727,1,25.5875,58,E,S,Mr.
93,0,1,male,46,1,0,W.E.P.,5734,1,61.175,31,E,S,Mr.
541,1,1,female,36,0,2,none,5735,1,71,22,B,S,Miss.
746,0,1,male,70,1,1,none,5735,1,71,22,B,S,Capt.
498,0,3,male,29.84760522,0,0,C.A.,6212,1,15.1,0,none,S,Mr.
683,0,3,male,20,0,0,none,6563,1,9.225,0,none,S,Mr.
784,0,3,male,29.84760522,1,2,W./C.,6607,2,23.45,0,none,S,Mr.
889,0,3,female,29.84760522,1,2,W./C.,6607,2,23.45,0,none,S,Miss.
87,0,3,male,16,1,3,W./C.,6608,4,34.375,0,none,S,Mr.
148,0,3,female,9,2,2,W./C.,6608,4,34.375,0,none,S,Miss.
437,0,3,female,21,2,2,W./C.,6608,4,34.375,0,none,S,Miss.
737,0,3,female,48,1,3,W./C.,6608,4,34.375,0,none,S,Mrs.
236,0,3,female,29.84760522,0,0,W./C.,6609,1,7.55,0,none,S,Miss.
819,0,3,male,43,0,0,C,7075,1,6.45,0,none,S,Mr.
366,0,3,male,30,0,0,C,7076,1,7.25,0,none,S,Mr.
377,1,3,female,22,0,0,C,7077,1,7.25,0,none,S,Miss.
351,0,3,male,23,0,0,none,7267,1,9.225,0,none,S,Mr.
139,0,3,male,16,0,0,none,7534,2,9.2167,0,none,S,Mr.
877,0,3,male,20,0,0,none,7534,2,9.8458,0,none,S,Mr.
104,0,3,male,33,0,0,none,7540,1,8.6542,0,none,S,Mr.
714,0,3,male,29,0,0,none,7545,1,9.4833,0,none,S,Mr.
41,0,3,female,40,1,0,none,7546,1,9.475,0,none,S,Mrs.
883,0,3,female,22,0,0,none,7552,1,10.5167,0,none,S,Miss.
475,0,3,female,22,0,0,none,7553,1,9.8375,0,none,S,Miss.
339,1,3,male,45,0,0,none,7598,1,8.05,0,none,S,Mr.
770,0,3,male,32,0,0,none,8471,1,8.3625,0,none,S,Mr.
653,0,3,male,21,0,0,none,8475,1,8.4333,0,none,S,Mr.
301,1,3,female,29.84760522,0,0,none,9234,1,7.75,0,none,Q,Miss.
11,1,3,female,4,1,1,PP,9549,2,16.7,6,G,S,Miss.
395,1,3,female,24,0,2,PP,9549,2,16.7,6,G,S,Mrs.
284,1,3,male,19,0,0,A/5,10482,1,8.05,0,none,S,Mr.
153,0,3,male,55.5,0,0,A/5,11206,1,8.05,0,none,S,Mr.
42,0,2,female,27,1,0,none,11668,2,21,0,none,S,Mrs.
118,0,2,male,29,1,0,none,11668,2,21,0,none,S,Mr.
249,1,1,male,37,1,1,none,11751,2,52.5542,35,D,S,Mr.
872,1,1,female,47,1,1,none,11751,2,52.5542,35,D,S,Mrs.
137,1,1,female,19,0,2,none,11752,1,26.2833,47,D,S,Miss.
622,1,1,male,42,1,0,none,11753,1,52.5542,19,D,S,Mr.
557,1,1,female,48,1,0,none,11755,1,39.6,16,A,C,Lady.
371,1,1,male,25,1,0,none,11765,1,55.4417,50,E,C,Mr.
311,1,1,female,24,0,0,none,11767,2,83.1583,54,C,C,Miss.
880,1,1,female,56,0,1,none,11767,2,83.1583,50,C,C,Mrs.
572,1,1,female,53,2,0,none,11769,1,51.4792,101,C,S,Mrs.
488,0,1,male,58,0,0,none,11771,1,29.7,37,B,C,Mr.
840,1,1,male,29.84760522,0,0,none,11774,1,29.7,47,C,C,Mr.
219,1,1,female,32,0,0,none,11813,1,76.2917,15,D,C,Miss.
292,1,1,female,19,1,0,none,11967,1,91.0792,49,B,C,Mrs.
485,1,1,male,25,1,0,none,11967,1,91.0792,49,B,C,Mr.
723,0,2,male,34,0,0,none,12233,1,13,0,none,S,Mr.
791,0,3,male,29.84760522,0,0,none,12460,1,7.75,0,none,Q,Mr.
521,1,1,female,30,0,0,none,12749,2,93.5,73,B,S,Miss.
821,1,1,female,52,1,1,none,12749,2,93.5,69,B,S,Mrs.
672,0,1,male,31,1,0,F.C.C.,12750,1,52,71,B,S,Mr.
422,0,3,male,21,0,0,A/5,13032,1,7.7333,0,none,Q,Mr.
584,0,1,male,36,0,0,none,13049,1,40.125,10,A,C,Mr.
648,1,1,male,56,0,0,none,13213,1,35.5,26,A,C,Col.
633,1,1,male,32,0,0,none,13214,1,30.5,50,B,C,Dr.
276,1,1,female,63,1,0,none,13502,3,77.9583,7,D,S,Miss.
628,1,1,female,21,0,0,none,13502,3,77.9583,9,D,S,Miss.
766,1,1,female,51,1,0,none,13502,3,77.9583,11,D,S,Mrs.
435,0,1,male,50,1,0,none,13507,2,55.9,44,E,S,Mr.
578,1,1,female,39,1,0,none,13507,2,55.9,44,E,S,Mrs.
457,0,1,male,65,0,0,none,13509,1,26.55,38,E,S,Mr.
212,1,2,female,35,0,0,F.C.C.,13528,1,21,0,none,S,Miss.
315,0,2,male,43,1,1,F.C.C.,13529,3,26.25,0,none,S,Mr.
441,1,2,female,45,1,1,F.C.C.,13529,3,26.25,0,none,S,Mrs.
536,1,2,female,7,0,2,F.C.C.,13529,3,26.25,0,none,S,Miss.
459,1,2,female,50,0,0,F.C.C.,13531,1,10.5,0,none,S,Miss.
588,1,1,male,60,1,1,none,13567,1,79.2,41,B,C,Mr.
540,1,1,female,22,0,2,none,13568,1,49.5,39,B,C,Miss.
220,0,2,male,30,0,0,none,14208,1,10.5,0,none,S,Mr.
527,1,2,female,50,0,0,W./C.,14258,1,10.5,0,none,S,Miss.
243,0,2,male,29,0,0,W./C.,14263,1,10.5,0,none,S,Mr.
48,1,3,female,29.84760522,0,0,none,14311,1,7.75,0,none,Q,Miss.
574,1,3,female,29.84760522,0,0,none,14312,1,7.75,0,none,Q,Miss.
369,1,3,female,29.84760522,0,0,none,14313,1,7.75,0,none,Q,Miss.
73,0,2,male,21,0,0,S.O.C.,14879,5,73.5,0,none,S,Mr.
121,0,2,male,21,2,0,S.O.C.,14879,5,73.5,0,none,S,Mr.
386,0,2,male,18,0,0,S.O.C.,14879,5,73.5,0,none,S,Mr.
656,0,2,male,24,2,0,S.O.C.,14879,5,73.5,0,none,S,Mr.
666,0,2,male,32,2,0,S.O.C.,14879,5,73.5,0,none,S,Mr.
85,1,2,female,17,0,0,SO/C,14885,1,10.5,0,none,S,Miss.
589,0,3,male,22,0,0,none,14973,1,8.05,0,none,S,Mr.
320,1,1,female,40,1,1,none,16966,2,134.5,34,E,C,Mrs.
338,1,1,female,41,0,0,none,16966,2,134.5,40,E,C,Miss.
741,1,1,male,29.84760522,0,0,none,16988,1,30,45,D,S,Mr.
266,0,2,male,36,0,0,C.A.,17248,1,10.5,0,none,S,Mr.
169,0,1,male,29.84760522,0,0,PC,17318,1,25.925,0,none,S,Mr.
128,1,3,male,24,0,0,C,17369,1,7.1417,0,none,S,Mr.
307,1,1,female,29.84760522,0,0,none,17421,4,110.8833,0,none,C,Miss.
551,1,1,male,17,0,2,none,17421,4,110.8833,70,C,C,Mr.
582,1,1,female,39,1,1,none,17421,4,110.8833,68,C,C,Mrs.
699,0,1,male,49,1,1,none,17421,4,110.8833,68,C,C,Mr.
454,1,1,male,49,1,0,none,17453,2,89.1042,92,C,C,Mr.
850,1,1,female,29.84760522,1,0,none,17453,2,89.1042,92,C,C,Mrs.
7,0,1,male,54,0,0,none,17463,1,51.8625,46,E,S,Mr.
458,1,1,female,29.84760522,1,0,none,17464,1,51.8625,21,D,S,Mrs.
797,1,1,female,49,0,0,none,17465,1,25.9292,17,D,S,Dr.
863,1,1,female,48,0,0,none,17466,1,25.9292,17,D,S,Mrs.
513,1,1,male,36,0,0,PC,17473,1,26.2875,25,E,S,Mr.
573,1,1,male,36,0,0,PC,17474,3,26.3875,25,E,S,Mr.
691,1,1,male,31,1,0,none,17474,3,57,20,B,S,Mr.
782,1,1,female,17,1,0,none,17474,3,57,20,B,S,Mrs.
702,1,1,male,35,0,0,PC,17475,1,26.2875,24,E,S,Mr.
708,1,1,male,42,0,0,PC,17476,1,26.2875,24,E,S,Mr.
370,1,1,female,24,0,0,PC,17477,2,69.3,35,B,C,Mme.
642,1,1,female,24,0,0,PC,17477,2,69.3,35,B,C,Mlle.
711,1,1,female,24,0,0,PC,17482,1,49.5042,90,C,C,Mlle.
528,0,1,male,29.84760522,0,0,PC,17483,1,221.7792,95,C,S,Mr.
310,1,1,female,30,0,0,PC,17485,2,56.9292,36,E,C,Miss.
600,1,1,male,49,1,0,PC,17485,2,56.9292,20,A,C,Sir.
119,0,1,male,24,0,1,PC,17558,2,247.5208,58,B,C,Mr.
300,1,1,female,50,0,1,PC,17558,2,247.5208,58,B,C,Mrs.
32,1,1,female,29.84760522,1,0,PC,17569,2,146.5208,78,B,C,Mrs.
196,1,1,female,58,0,0,PC,17569,2,146.5208,80,B,C,Miss.
53,1,1,female,49,1,0,PC,17572,3,76.7292,33,D,C,Mrs.
646,1,1,male,48,1,0,PC,17572,3,76.7292,33,D,C,Mr.
682,1,1,male,27,0,0,PC,17572,3,76.7292,49,D,C,Mr.
269,1,1,female,58,0,1,PC,17582,3,153.4625,125,C,S,Mrs.
333,0,1,male,38,0,1,PC,17582,3,153.4625,91,C,S,Mr.
610,1,1,female,40,0,0,PC,17582,3,153.4625,125,C,S,Miss.
257,1,1,female,29.84760522,0,0,PC,17585,1,79.2,0,none,C,Mrs.
868,0,1,male,31,0,0,PC,17590,1,50.4958,24,A,S,Mr.
854,1,1,female,16,0,1,PC,17592,1,39.4,28,D,S,Miss.
140,0,1,male,24,0,0,PC,17593,2,79.2,86,B,C,Mr.
790,0,1,male,46,0,0,PC,17593,2,79.2,82,B,C,Mr.
178,0,1,female,50,0,0,PC,17595,1,28.7125,49,C,C,Miss.
274,0,1,male,37,0,1,PC,17596,1,29.7,118,C,C,Mr.
156,0,1,male,51,0,1,PC,17597,1,61.3792,0,none,C,Mr.
2,1,1,female,38,1,0,PC,17599,1,71.2833,85,C,C,Mrs.
794,0,1,male,29.84760522,0,0,PC,17600,1,30.6958,0,none,C,Mr.
31,0,1,male,40,0,0,PC,17601,1,27.7208,0,none,C,Don.
514,1,1,female,54,1,0,PC,17603,1,59.4,0,none,C,Mrs.
35,0,1,male,28,1,0,PC,17604,2,82.1708,0,none,C,Mr.
376,1,1,female,29.84760522,1,0,PC,17604,2,82.1708,0,none,C,Mrs.
65,0,1,male,29.84760522,0,0,PC,17605,1,27.7208,0,none,C,Mr.
312,1,1,female,18,2,2,PC,17608,2,262.375,57,B,C,Miss.
743,1,1,female,21,2,2,PC,17608,2,262.375,57,B,C,Miss.
494,0,1,male,71,0,0,PC,17609,1,49.5042,0,none,C,Mr.
195,1,1,female,44,0,0,PC,17610,1,27.7208,4,B,C,Mrs.
335,1,1,female,29.84760522,1,0,PC,17611,2,133.65,0,none,S,Mrs.
661,1,1,male,50,2,0,PC,17611,2,133.65,0,none,S,Dr.
296,0,1,male,29.84760522,0,0,PC,17612,1,27.7208,0,none,C,Mr.
97,0,1,male,71,0,0,PC,17754,1,34.6542,5,A,C,Mr.
259,1,1,female,35,0,0,PC,17755,3,512.3292,0,none,C,Miss.
680,1,1,male,36,0,1,PC,17755,3,512.3292,51,B,C,Mr.
738,1,1,male,35,0,0,PC,17755,3,512.3292,101,B,C,Mr.
836,1,1,female,39,1,1,PC,17756,1,83.1583,49,E,C,Miss.
381,1,1,female,42,0,0,PC,17757,4,227.525,0,none,C,Miss.
558,0,1,male,29.84760522,0,0,PC,17757,4,227.525,0,none,C,Mr.
701,1,1,female,18,1,0,PC,17757,4,227.525,62,C,C,Mrs.
717,1,1,female,38,0,0,PC,17757,4,227.525,45,C,C,Miss.
308,1,1,female,17,1,0,PC,17758,2,108.9,65,C,C,Mrs.
506,0,1,male,18,1,0,PC,17758,2,108.9,65,C,C,Mr.
98,1,1,male,23,0,1,PC,17759,1,63.3583,10,D,C,Mr.
270,1,1,female,35,0,0,PC,17760,3,135.6333,99,C,S,Miss.
326,1,1,female,36,0,0,PC,17760,3,135.6333,32,C,C,Miss.
374,0,1,male,22,0,0,PC,17760,3,135.6333,0,none,C,Mr.
538,1,1,female,30,0,0,PC,17761,2,106.425,0,none,C,Miss.
545,0,1,male,50,1,0,PC,17761,2,106.425,86,C,C,Mr.
175,0,1,male,56,0,0,none,17764,1,30.6958,7,A,C,Mr.
489,0,3,male,30,0,0,A/5,18509,1,8.05,0,none,S,Mr.
440,0,2,male,31,0,0,C.A.,18723,1,10.5,0,none,S,Mr.
291,1,1,female,26,0,0,none,19877,2,78.85,0,none,S,Miss.
742,0,1,male,36,1,0,none,19877,2,78.85,46,C,S,Mr.
246,0,1,male,44,2,0,none,19928,2,90,78,C,Q,Dr.
413,1,1,female,33,1,0,none,19928,2,90,78,C,Q,Miss.
225,1,1,male,38,1,0,none,19943,2,90,93,C,S,Mr.
487,1,1,female,35,1,0,none,19943,2,90,93,C,S,Mrs.
56,1,1,male,29.84760522,0,0,none,19947,1,35.5,52,C,S,Mr.
28,0,1,male,19,3,2,none,19950,4,263,23,C,S,Mr.
89,1,1,female,23,3,2,none,19950,4,263,23,C,S,Miss.
342,1,1,female,24,3,2,none,19950,4,263,23,C,S,Miss.
439,0,1,male,64,1,4,none,19950,4,263,23,C,S,Mr.
461,1,1,male,48,0,0,none,19952,1,26.55,12,E,S,Mr.
823,0,1,male,38,0,0,none,19972,1,0,0,none,S,Mr.
299,1,1,male,29.84760522,0,0,none,19988,1,30.5,106,C,S,Mr.
670,1,1,female,29.84760522,1,0,none,19996,2,52,126,C,S,Mrs.
713,1,1,male,48,1,0,none,19996,2,52,126,C,S,Mr.
575,0,3,male,16,0,0,A/4,20589,1,8.05,0,none,S,Mr.
1,0,3,male,22,1,0,A/5,21171,1,7.25,0,none,S,Mr.
321,0,3,male,22,0,0,A/5,21172,1,7.25,0,none,S,Mr.
228,0,3,male,20.5,0,0,A/5,21173,1,7.25,0,none,S,Mr.
213,0,3,male,22,0,0,A/5,21174,1,7.25,0,none,S,Mr.
223,0,3,male,51,0,0,none,21440,1,8.05,0,none,S,Mr.
46,0,3,male,29.84760522,0,0,S.C./A.4.,23567,1,8.05,0,none,S,Mr.
690,1,1,female,15,0,1,none,24160,3,211.3375,5,B,S,Miss.
731,1,1,female,29,0,0,none,24160,3,211.3375,5,B,S,Miss.
780,1,1,female,43,0,1,none,24160,3,211.3375,3,B,S,Mrs.
34,0,2,male,66,0,0,C.A.,24579,1,10.5,0,none,S,Mr.
673,0,2,male,70,0,0,C.A.,24580,1,10.5,0,none,S,Mr.
507,1,2,female,33,0,2,none,26360,2,26,0,none,S,Mrs.
531,1,2,female,2,1,1,none,26360,2,26,0,none,S,Miss.
237,0,2,male,44,1,0,none,26707,1,26,0,none,S,Mr.
631,1,1,male,80,0,0,none,27042,1,30,23,A,S,Mr.
124,1,2,female,32.5,0,0,none,27267,1,13,101,E,S,Miss.
388,1,2,female,36,0,0,none,27849,1,13,0,none,S,Miss.
862,0,2,male,21,1,0,none,28134,1,11.5,0,none,S,Mr.
813,0,2,male,35,0,0,none,28206,1,10.5,0,none,S,Mr.
796,0,2,male,39,0,0,none,28213,1,13,0,none,S,Mr.
417,1,2,female,34,1,1,none,28220,1,32.5,0,none,S,Mrs.
419,0,2,male,30,0,0,none,28228,1,13,0,none,S,Mr.
398,0,2,male,46,0,0,none,28403,2,26,0,none,S,Mr.
583,0,2,male,54,0,0,none,28403,2,26,0,none,S,Mr.
192,0,2,male,19,0,0,none,28424,1,13,0,none,S,Mr.
734,0,2,male,23,0,0,none,28425,1,13,0,none,S,Mr.
328,1,2,female,36,0,0,none,28551,1,13,0,D,S,Mrs.
406,0,2,male,34,1,0,none,28664,1,21,0,none,S,Mr.
239,0,2,male,19,0,0,none,28665,1,10.5,0,none,S,Mr.
318,0,2,male,54,0,0,none,29011,1,14,0,none,S,Dr.
595,0,2,male,37,1,0,SC/AH,29037,1,26,0,none,S,Mr.
751,1,2,female,4,1,1,none,29103,1,23,0,none,S,Miss.
530,0,2,male,23,2,1,none,29104,1,11.5,0,none,S,Mr.
